date,open,high,low,close,volume,Sentiment
8/16/2019,287.95,292.8,284.3,290.9,20047399,0
8/19/2019,292,292.4,286,286.85,19831459,1
8/20/2019,287.3,287.4,280.65,283.7,23204417,1
8/21/2019,285.5,285.6,276.3,277.4,28226325,0
8/22/2019,278.3,278.3,267.3,268.55,27728925,0
8/23/2019,267.1,275.25,262.7,271.1,35212444,0
8/26/2019,288,288,270,280.2,64066440,0
8/27/2019,284,288,282.6,285.7,45164811,0
8/28/2019,286.65,286.65,282.2,284.9,18979998,0
8/29/2019,283.2,284.3,273.3,274.5,27083514,0
8/30/2019,275.95,277.95,266.85,273.85,45702652,0
9/3/2019,272,272,266.95,268.4,21241863,0
9/4/2019,269.7,275.85,267.25,275.1,27309675,1
9/5/2019,275,276.35,271.05,273.3,25085139,0
9/6/2019,275.05,277,272.1,273.95,16675146,0
9/9/2019,273.95,278.7,271,278,18616889,0
9/11/2019,278.5,285.85,278.5,285.25,20999669,0
9/12/2019,286.75,288.8,284.15,287.05,21964832,1
9/13/2019,285,292.5,282,291.7,27303181,0
9/16/2019,288.2,290.45,283.8,284.7,18267680,-1
9/17/2019,285,286.45,273,273.95,21533362,1
9/18/2019,277.2,282.95,274.4,280.4,25478758,0
9/19/2019,279.95,279.95,273.05,274.05,23387797,1
9/20/2019,274.5,307.65,268.4,301.7,84481749,0
9/23/2019,307.55,316,300.4,313.75,54178171,0
9/24/2019,313.15,315.15,300.8,302.6,40096711,0
9/25/2019,297,297.5,278.7,280.25,73063465,1
9/26/2019,281.5,289.9,277,281.85,79005946,0
9/27/2019,282.7,286.05,280,281.2,37851718,0
9/30/2019,281.4,281.85,270.15,270.8,41094131,0
10/1/2019,272.75,275.5,245.55,255.95,79350077,0
10/3/2019,254,260.7,250.1,254.15,56207921,0
10/4/2019,258.5,260.5,248.55,249.95,60029186,1
10/7/2019,251.5,253.4,246.85,249.1,39160623,0
10/9/2019,250.1,262,244.35,260.95,60328507,1
10/10/2019,258,258,252.6,254.15,37577511,1
10/11/2019,256.2,261.4,251.5,254.55,43272106,0
10/14/2019,256.95,259.4,254,255.45,28265136,0
10/15/2019,256.45,259.9,254.8,258.45,23444973,-1
10/16/2019,259.3,261.95,255,256.05,30892295,0
10/17/2019,256.4,266,255.6,265.45,37061013,-1
10/18/2019,264.4,271.35,263.2,269.65,33203721,1
10/22/2019,270.4,275,268.5,270.5,27574295,0
10/23/2019,270.75,277.8,268.65,275.45,31789622,0
10/24/2019,276,277.65,248.65,262.5,63943183,0
10/25/2019,265.8,284.15,263.55,281.55,105518180,1
10/27/2019,284.95,284.95,280.25,281.8,12185529,0
10/29/2019,283.15,285,278.55,280.65,51033578,0
10/30/2019,283,291,279.25,289.9,51469048,0
